OBJECTID,GEOID,TotWorkers16over,SpeakSpanishWorkers,WorkAtHome,4pplusHH,16plusworkPoverty,16plusworkbelowpoverty,FID_,GEOID,NAME,GEOID_Data
21375,14000US17031230800,363,257,4,116,,,,17031230800,2308,14000US17031230800
21376,14000US17031230900,2002,916,73,386,,,,17031230900,2309,14000US17031230900
21377,14000US17031231100,361,44,12,114,,,,17031231100,2311,14000US17031231100
21378,14000US17031231200,1471,340,0,602,,,,17031231200,2312,14000US17031231200
21379,14000US17031231500,1251,55,97,537,,,,17031231500,2315,14000US17031231500
21380,14000US17031240200,1081,155,72,58,,,,17031240200,2402,14000US17031240200
21381,14000US17031240300,872,0,72,74,,,,17031240300,2403,14000US17031240300
21382,14000US17031240500,1696,65,69,77,,,,17031240500,2405,14000US17031240500
21383,14000US17031240600,773,65,38,66,,,,17031240600,2406,14000US17031240600
21384,14000US17031240700,811,342,20,182,,,,17031240700,2407,14000US17031240700
21385,14000US17031240800,697,354,31,134,,,,17031240800,2408,14000US17031240800
21386,14000US17031240900,388,113,22,82,,,,17031240900,2409,14000US17031240900
21387,14000US17031241000,1004,384,42,168,,,,17031241000,2410,14000US17031241000
21388,14000US17031241100,2133,528,204,219,,,,17031241100,2411,14000US17031241100
21389,14000US17031241200,1268,121,146,149,,,,17031241200,2412,14000US17031241200
21390,14000US17031241300,1219,63,107,115,,,,17031241300,2413,14000US17031241300
21391,14000US17031241400,2960,234,204,203,,,,17031241400,2414,14000US17031241400
21392,14000US17031241500,2106,94,166,146,,,,17031241500,2415,14000US17031241500
21393,14000US17031241600,2624,405,129,137,,,,17031241600,2416,14000US17031241600
21394,14000US17031242000,2484,351,97,180,,,,17031242000,2420,14000US17031242000
21395,14000US17031242100,2404,255,207,58,,,,17031242100,2421,14000US17031242100
21396,14000US17031242200,2682,234,184,187,,,,17031242200,2422,14000US17031242200
21397,14000US17031242300,2630,344,88,149,,,,17031242300,2423,14000US17031242300
21398,14000US17031242400,2017,143,200,127,,,,17031242400,2424,14000US17031242400
21399,14000US17031242500,2157,668,71,398,,,,17031242500,2425,14000US17031242500
21400,14000US17031242600,2743,623,170,393,,,,17031242600,2426,14000US17031242600
21401,14000US17031242700,685,160,12,143,,,,17031242700,2427,14000US17031242700
21402,14000US17031242800,878,65,47,126,,,,17031242800,2428,14000US17031242800
21403,14000US17031242900,1357,141,57,147,,,,17031242900,2429,14000US17031242900
21404,14000US17031243000,1459,427,28,103,,,,17031243000,2430,14000US17031243000
21405,14000US17031243100,1546,572,83,241,,,,17031243100,2431,14000US17031243100
21406,14000US17031243200,1546,385,139,175,,,,17031243200,2432,14000US17031243200
21407,14000US17031243300,1472,114,122,39,,,,17031243300,2433,14000US17031243300
21408,14000US17031243400,2073,566,129,190,,,,17031243400,2434,14000US17031243400
21409,14000US17031243500,2173,104,135,131,,,,17031243500,2435,14000US17031243500
21410,14000US17031250200,1040,364,21,267,,,,17031250200,2502,14000US17031250200
21411,14000US17031250300,1910,405,40,461,,,,17031250300,2503,14000US17031250300
21412,14000US17031250400,2487,306,129,630,,,,17031250400,2504,14000US17031250400
21413,14000US17031250500,3647,1004,111,644,,,,17031250500,2505,14000US17031250500
21414,14000US17031250600,1726,104,40,551,,,,17031250600,2506,14000US17031250600
21415,14000US17031250700,1730,41,33,574,,,,17031250700,2507,14000US17031250700
21416,14000US17031250800,1045,47,16,219,,,,17031250800,2508,14000US17031250800
21417,14000US17031251000,359,49,12,125,,,,17031251000,2510,14000US17031251000
21418,14000US17031251100,1392,78,0,546,,,,17031251100,2511,14000US17031251100
21419,14000US17031251200,1217,122,41,406,,,,17031251200,2512,14000US17031251200
21420,14000US17031251300,1534,35,127,393,,,,17031251300,2513,14000US17031251300
21421,14000US17031251400,1526,87,143,302,,,,17031251400,2514,14000US17031251400
21422,14000US17031251500,1137,48,115,400,,,,17031251500,2515,14000US17031251500
