OBJECTID,GEOID,TotalPop,FID_,GEOID,NAME,GEOID_Data
21355,14000US17031221000,3081,,17031221000,2210,14000US17031221000
21356,14000US17031221100,4785,,17031221100,2211,14000US17031221100
21357,14000US17031221200,2335,,17031221200,2212,14000US17031221200
21358,14000US17031221300,2646,,17031221300,2213,14000US17031221300
21359,14000US17031221400,3104,,17031221400,2214,14000US17031221400
21360,14000US17031221500,2693,,17031221500,2215,14000US17031221500
21361,14000US17031221600,2983,,17031221600,2216,14000US17031221600
21362,14000US17031222200,1905,,17031222200,2222,14000US17031222200
21363,14000US17031222500,1433,,17031222500,2225,14000US17031222500
21364,14000US17031222600,1629,,17031222600,2226,14000US17031222600
21365,14000US17031222700,2438,,17031222700,2227,14000US17031222700
21366,14000US17031222800,881,,17031222800,2228,14000US17031222800
21367,14000US17031222900,1274,,17031222900,2229,14000US17031222900
21368,14000US17031230100,1519,,17031230100,2301,14000US17031230100
21369,14000US17031230200,1624,,17031230200,2302,14000US17031230200
21370,14000US17031230300,1120,,17031230300,2303,14000US17031230300
21371,14000US17031230400,2650,,17031230400,2304,14000US17031230400
21372,14000US17031230500,3490,,17031230500,2305,14000US17031230500
21373,14000US17031230600,8092,,17031230600,2306,14000US17031230600
21374,14000US17031230700,5178,,17031230700,2307,14000US17031230700
21375,14000US17031230800,978,,17031230800,2308,14000US17031230800
21376,14000US17031230900,5188,,17031230900,2309,14000US17031230900
21377,14000US17031231100,1135,,17031231100,2311,14000US17031231100
21378,14000US17031231200,5974,,17031231200,2312,14000US17031231200
21379,14000US17031231500,5396,,17031231500,2315,14000US17031231500
21380,14000US17031240200,1601,,17031240200,2402,14000US17031240200
21381,14000US17031240300,1315,,17031240300,2403,14000US17031240300
21382,14000US17031240500,2133,,17031240500,2405,14000US17031240500
21383,14000US17031240600,1167,,17031240600,2406,14000US17031240600
21384,14000US17031240700,1847,,17031240700,2407,14000US17031240700
21385,14000US17031240800,1684,,17031240800,2408,14000US17031240800
21386,14000US17031240900,963,,17031240900,2409,14000US17031240900
21387,14000US17031241000,2283,,17031241000,2410,14000US17031241000
21388,14000US17031241100,3931,,17031241100,2411,14000US17031241100
21389,14000US17031241200,2043,,17031241200,2412,14000US17031241200
21390,14000US17031241300,1902,,17031241300,2413,14000US17031241300
21391,14000US17031241400,4834,,17031241400,2414,14000US17031241400
21392,14000US17031241500,2904,,17031241500,2415,14000US17031241500
21393,14000US17031241600,3545,,17031241600,2416,14000US17031241600
21394,14000US17031242000,4409,,17031242000,2420,14000US17031242000
21395,14000US17031242100,3235,,17031242100,2421,14000US17031242100
21396,14000US17031242200,3989,,17031242200,2422,14000US17031242200
21397,14000US17031242300,3540,,17031242300,2423,14000US17031242300
21398,14000US17031242400,2956,,17031242400,2424,14000US17031242400
21399,14000US17031242500,3993,,17031242500,2425,14000US17031242500
21400,14000US17031242600,5669,,17031242600,2426,14000US17031242600
21401,14000US17031242700,1839,,17031242700,2427,14000US17031242700
21402,14000US17031242800,1626,,17031242800,2428,14000US17031242800
21403,14000US17031242900,2022,,17031242900,2429,14000US17031242900
21404,14000US17031243000,2369,,17031243000,2430,14000US17031243000
21405,14000US17031243100,2509,,17031243100,2431,14000US17031243100
21406,14000US17031243200,2070,,17031243200,2432,14000US17031243200
21407,14000US17031243300,2183,,17031243300,2433,14000US17031243300
21408,14000US17031243400,3052,,17031243400,2434,14000US17031243400
21409,14000US17031243500,3169,,17031243500,2435,14000US17031243500
21410,14000US17031250200,2642,,17031250200,2502,14000US17031250200
21411,14000US17031250300,4916,,17031250300,2503,14000US17031250300
21412,14000US17031250400,6402,,17031250400,2504,14000US17031250400
21413,14000US17031250500,7489,,17031250500,2505,14000US17031250500
21414,14000US17031250600,4962,,17031250600,2506,14000US17031250600
