OBJECTID,GEOID,PopWhite,PopBlack,FID_,GEOID,NAME,GEOID_Data
21433,14000US17031260200,20,1120,,17031260200,2602,14000US17031260200
21434,14000US17031260300,25,1391,,17031260300,2603,14000US17031260300
21435,14000US17031260400,12,1495,,17031260400,2604,14000US17031260400
21436,14000US17031260500,7,1709,,17031260500,2605,14000US17031260500
21437,14000US17031260600,73,2840,,17031260600,2606,14000US17031260600
21438,14000US17031260700,0,2376,,17031260700,2607,14000US17031260700
21439,14000US17031260800,21,2148,,17031260800,2608,14000US17031260800
21440,14000US17031260900,72,1850,,17031260900,2609,14000US17031260900
21441,14000US17031261000,0,2685,,17031261000,2610,14000US17031261000
21442,14000US17031270500,74,1532,,17031270500,2705,14000US17031270500
21443,14000US17031271200,22,1320,,17031271200,2712,14000US17031271200
21444,14000US17031271300,20,1121,,17031271300,2713,14000US17031271300
21445,14000US17031271400,41,1236,,17031271400,2714,14000US17031271400
21446,14000US17031271500,5,1381,,17031271500,2715,14000US17031271500
21447,14000US17031271800,20,997,,17031271800,2718,14000US17031271800
21448,14000US17031280100,4294,286,,17031280100,2801,14000US17031280100
21449,14000US17031280400,143,769,,17031280400,2804,14000US17031280400
21450,14000US17031280800,62,471,,17031280800,2808,14000US17031280800
21451,14000US17031280900,31,980,,17031280900,2809,14000US17031280900
21452,14000US17031281900,2350,368,,17031281900,2819,14000US17031281900
21453,14000US17031282700,794,1217,,17031282700,2827,14000US17031282700
21454,14000US17031282800,762,319,,17031282800,2828,14000US17031282800
21455,14000US17031283100,815,1175,,17031283100,2831,14000US17031283100
21456,14000US17031283200,397,540,,17031283200,2832,14000US17031283200
21457,14000US17031283800,1035,1588,,17031283800,2838,14000US17031283800
21458,14000US17031290900,174,3812,,17031290900,2909,14000US17031290900
21459,14000US17031291200,21,2367,,17031291200,2912,14000US17031291200
21460,14000US17031291600,220,248,,17031291600,2916,14000US17031291600
21461,14000US17031292200,92,2919,,17031292200,2922,14000US17031292200
21462,14000US17031292400,104,1919,,17031292400,2924,14000US17031292400
21463,14000US17031292500,32,4094,,17031292500,2925,14000US17031292500
21464,14000US17031300500,1966,89,,17031300500,3005,14000US17031300500
21465,14000US17031300600,2385,456,,17031300600,3006,14000US17031300600
21466,14000US17031300700,3223,75,,17031300700,3007,14000US17031300700
21467,14000US17031300800,2601,17,,17031300800,3008,14000US17031300800
21468,14000US17031300900,2846,56,,17031300900,3009,14000US17031300900
21469,14000US17031301100,1892,71,,17031301100,3011,14000US17031301100
21470,14000US17031301200,3074,217,,17031301200,3012,14000US17031301200
21471,14000US17031301600,3370,3,,17031301600,3016,14000US17031301600
21472,14000US17031301701,3271,2,,17031301701,3017.01,14000US17031301701
21473,14000US17031301702,2264,0,,17031301702,3017.02,14000US17031301702
